reason_code,parent_codes,parent_code,compiled_codes
305408004,['305349003'],305349003,"['305408004', '305349003']"
170837001,['170836005'],170836005,"['170837001', '170836005']"
185349003,['308335008'],308335008,"['185349003', '308335008', '71388002']"
32485007,['305335007'],305335007,"['32485007', '305335007']"
698314001,['11429006'],11429006,"['698314001', '11429006']"
308335008,['71388002'],71388002,"['308335008', '71388002']"
183460006,['183452005'],183452005,"['183460006', '183452005', '373110003', '32485007', '305335007']"
424441002,['424619006'],424619006,"['424441002', '424619006']"
185347001,['308335008'],308335008,"['185347001', '308335008', '71388002']"
305411003,['305410002'],305410002,"['305411003', '305410002']"
266707007,['67516001'],67516001,"['266707007', '67516001']"
394701000,"['275908000', '170609005']",170609005,"['394701000', '275908000', '170609005']"
316744009,[],XXX,['316744009']
34285007,[],XXXXX,"['32485007', '305335007']"
170258001,['365857001'],365857001,"['170258001', '365857001']"
210098006,"['386053000', '439708006']",439708006,"['210098006', '386053000', '439708006']"
183495009,"['305428000', '373113001']",373113001,"['183495009', '305428000', '373113001']"
56876005,"['61480009', '78092008']",78092008,"['56876005', '61480009', '78092008']"
183452005,"['373110003', '32485007']",32485007,"['183452005', '373110003', '32485007', '305335007']"
50849002,"['305349003', '32485007']",32485007,"['50849002', '305349003', '32485007', '305335007']"
185345009,['308335008'],308335008,"['185345009', '308335008', '71388002']"
308646001,['307928008'],307928008,"['308646001', '307928008']"
183478001,['183452005'],183452005,"['183478001', '183452005', '373110003', '32485007', '305335007']"
170838006,['170836005'],170836005,"['170838006', '170836005']"
371883000,['71388002'],71388002,"['371883000', '71388002']"
184347001,[],XXXXX,"['185347001', '308335008', '71388002']"
270427003,['308335008'],308335008,"['270427003', '308335008', '71388002']"
424619006,['424525001'],424525001,"['424619006', '424525001']"
