reason_code,parent_codes,parent_code
13995008,"['400136002', '48972008', '15440009']",15440009
252160004,"['67900009', '74036000']",74036000
274474001,"['128927009', '129233004']",129233004
703423002,"['367336001', '416608005', '108290001']",108290001
305428000,['305408004'],305408004
312681000,['363679005'],363679005
429609002,"['119746007', '410771003']",410771003
15081005,"['118669005', '52052004']",52052004
74857009,['50699000'],50699000
180030006,"['397117006', '119686008']",119686008
52734007,['398010007'],398010007
173160006,[],XXX
31208007,['236958009'],236958009
399208008,"['303927002', '415232002']",415232002
91602002,"['86088003', '118795000', '118796004']",118796004
80146002,"['8613002', '27010001']",27010001
313191000,['427015007'],427015007
127783003,['23426006'],23426006
90407005,['108311000'],108311000
432231006,"['48635004', '274319000', '287464002', '287460006']",287460006
88039007,"['363186003', '387714009', '313039003', '120158008']",120158008
384700001,"['384707003', '281706009']",281706009
305340004,['32485007'],32485007
755621000000101,[],XXXXX
1015401000000102,[],XXXXX
714812005,['386639001'],386639001
169553002,"['278854009', '782901001', '363691001', '118726005']",118726005
305425002,['305408004'],305408004
22523008,"['399141000', '120013000']",120013000
167995008,"['117259009', '269911007']",269911007
88848003,['108311000'],108311000
387685009,"['387686005', '179419004', '387687001']",387687001
76601001,"['24456005', '119571007', '699998000']",699998000
265764009,['108241001'],108241001
29240004,"['108259003', '386053000']",386053000
428191000124101,['23745001'],23745001
228557008,['166001'],166001
232717009,"['116360008', '713689002']",713689002
46028000,"['400136002', '119647009']",119647009
73761001,"['6019008', '118839001']",118839001
418891003,"['169070004', '169069000']",169069000
180256009,"['416608005', '76334006', '309510008']",309510008
79733001,['397117006'],397117006
699253003,"['179342005', '449652005', '387687001']",387687001
11466000,"['66201006', '42253005', '236991000']",236991000
65546002,['55162003'],55162003
171231001,['171228002'],171228002
609588000,"['19063003', '392238003']",392238003
65588006,[],XXX
237001001,"['31208007', '237000000', '118864003', '363312001']",363312001
68254000,"['176837007', '118864003', '68526006', '4411002']",4411002
415070008,['118806004'],118806004
698354004,['816077007'],816077007
46706006,"['68254000', '384728007']",384728007
395142003,"['386053000', '408767007']",408767007
65200003,"['782901001', '176837007', '118864003']",118864003
287664005,"['1010295006', '1010296007', '76486003']",76486003
447365002,['395218007'],395218007
177157003,['237311001'],237311001
183450002,['305431004'],305431004
311791003,['14734007'],14734007
301807007,"['118726005', '128538000']",128538000
274031008,"['79764004', '235340004']",235340004
76164006,"['119287009', '118839001']",118839001
305433001,['305408004'],305408004
236974004,"['386811000', '363691001', '700000006']",700000006
18286008,"['276272002', '27711007']",27711007
43075005,['23968004'],23968004
445912000,"['120053002', '82688001']",82688001
433112001,"['419798006', '432947000', '439489001', '22276002']",22276002
18946005,"['745638006', '51898002']",51898002
23426006,['122869004'],122869004
387607004,['398740003'],398740003
269911007,['430509005'],430509005
117015009,['104190003'],104190003
66348005,[],XXX
85548006,"['302370000', '108101003', '236991000']",236991000
112790001,"['113028003', '423827005', '268925001', '373657001', '386043001']",386043001
288086009,"['18557009', '442460002']",442460002
