reason_code,parent_codes,parent_code
36971009,"['7393007', '363176004', '129134004']",129134004
399211009,['275905002'],275905002
239872002,"['428097001', '396275006']",396275006
196416002,['235104008'],235104008
55680006,[],XXX
90560007,"['269859006', '32612005']",32612005
161621004,['271396005'],271396005
75498004,"['15805002', '54398005', '703470001']",703470001
201834006,"['22193007', '201829007']",201829007
195967001,['50043002'],50043002
192127007,['406506008'],406506008
263102004,"['208388003', '281519006', '125598003', '833334002']",833334002
185086009,"['63480004', '36925002']",36925002
301011002,"['301010001', '71057007']",71057007
65363002,"['68996008', '43275000']",43275000
307731004,"['718539004', '724907007']",724907007
40275004,"['817956002', '473010000']",473010000
239720000,"['428724006', '125601008', '240140005']",240140005
254632001,"['448993007', '93880001', '11010461000119101']",11010461000119101
200936003,"['85828009', '105969002']",105969002
410429000,['698247007'],698247007
39848009,"['90460009', '298397000', '417746004']",417746004
422034002,"['422099009', '4855003']",4855003
197927001,"['197928006', '58184002']",58184002
72892002,['77386006'],77386006
85116003,['17369002'],17369002
423121009,['254637007'],254637007
58150001,"['282760004', '16250001000004107', '298766001']",298766001
287185009,['82313006'],82313006
38822007,"['42643001', '363169009', '373406006']",373406006
43878008,"['312129004', '312118003', '312422001', '85769006']",85769006
68496003,"['67401000119103', '425711007', '399505005']",399505005
198992004,"['609496007', '724497009', '15938005']",15938005
446096008,['61582004'],61582004
127013003,"['74627003', '90708001', '49698005']",49698005
24079001,['43116000'],43116000
429007001,['131471000119104'],131471000119104
62564004,"['110030002', '127298000']",127298000
283385000,"['283357002', '125659001']",125659001
230265002,"['111941005', '416780008']",416780008
95417003,"['128237006', '762452003', '203082005', '56557000']",56557000
110030002,"['708540005', '301766008', '127295002']",127295002
363406005,"['781382000', '126838000']",126838000
233678006,['195967001'],195967001
109838007,"['363406005', '109821008']",109821008
287182007,['82313006'],82313006
195662009,"['363746003', '54398005', '409631000', '1532007']",1532007
444814009,"['363166002', '36971009', '281794004']",281794004
45816000,"['373406006', '422747000']",422747000
403192003,"['125666000', '80659006', '125592002', '282026002', '239953001']",239953001
422968005,['254637007'],254637007
6072007,"['32110003', '74474003']",74474003
10509002,"['128482007', '111273006', '32398004']",32398004
162573006,"['162572001', '394966004']",394966004
47693006,"['125630001', '235799001']",235799001
79586000,"['34801009', '128134005']",128134005
230690007,"['282728007', '62914000', '301766008', '127294003']",127294003
40055000,"['17097001', '128294001', '36971009']",36971009
82423001,['22253000'],22253000
698423002,"['721901009', '161621004']",161621004
403191005,['284196006'],284196006
15777000,[],XXX
19169002,['17369002'],17369002
46177005,['90688005'],90688005
232353008,['446096008'],446096008
444470001,['444158007'],444158007
403190006,['284196006'],284196006
444448004,['444159004'],444159004
74400008,"['18526009', '302168000']",302168000
429280009,"['161622006', '16475351000119103']",16475351000119103
267253006,"['409709004', '70591005']",70591005
367498001,"['61582004', '413834006', '17097001', '58184002']",58184002
35999006,"['5294002', '128604004']",128604004
94260004,"['363406005', '781076008']",781076008
33737001,"['65354004', '282770002']",282770002
87433001,['13645005'],13645005
359817006,"['52603002', '700097003']",700097003
241929008,"['2704003', '419076005']",419076005
97331000119101,['769220000'],769220000
90781000119102,"['236499007', '157141000119108']",157141000119108
67841000119103,"['254625005', '254632001']",254632001
67811000119102,"['254625005', '254632001']",254632001
124171000119105,"['78689005', '423279000', '427419006']",427419006
368581000119106,"['421326000', '230572002']",230572002
678310001197008,[],XXXXX
698754002,"['128283000', '372310001']",372310001
236077008,['62315008'],62315008
15724005,['50448004'],50448004
86849004,['75478009'],75478009
93761005,"['363406005', '93854002']",93854002
239873007,"['428724006', '396275006']",396275006
44054006,['73211009'],73211009
161622006,['271396005'],271396005
283371005,"['283366003', '125649002']",125649002
